date,dow,time,branch_name,district_name,branch_num,dep_point,arr_point,lane,distance,volume,speed,classification
2019-01-01,2,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3881,60.75,1
2019-01-01,2,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3873,60.01,1
2019-01-01,2,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2516,63.12,1
2019-01-01,2,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1792,63.03,1
2019-01-01,2,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1428,62.32,1
2019-01-01,2,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1531,61.43,1
2019-01-01,2,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1678,60.03,1
2019-01-01,2,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1959,58.74,1
2019-01-01,2,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2614,57.01,1
2019-01-01,2,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2790,58.05,1
2019-01-01,2,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3324,56.69,1
2019-01-01,2,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3609,56.94,1
2019-01-01,2,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3729,58.52,1
2019-01-01,2,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3968,56.91,1
2019-01-01,2,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4246,57.54,1
2019-01-01,2,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4087,56.9,1
2019-01-01,2,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4195,56.62,1
2019-01-01,2,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4279,56.85,1
2019-01-01,2,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4150,56.74,1
2019-01-01,2,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4025,56.81,1
2019-01-01,2,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4014,57.3,1
2019-01-01,2,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4038,59.38,1
2019-01-01,2,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3481,57.53,1
2019-01-01,2,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2215,59.79,1
2019-01-02,3,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1498,60.7,1
2019-01-02,3,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,943,59.43,1
2019-01-02,3,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,756,58.09,1
2019-01-02,3,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,653,58.14,1
2019-01-02,3,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1081,56.15,1
2019-01-02,3,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2898,57.08,1
2019-01-02,3,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4740,57.13,1
2019-01-02,3,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5460,55.14,1
2019-01-02,3,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6156,54.55,1
2019-01-02,3,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6137,55.71,1
2019-01-02,3,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5824,56.83,1
2019-01-02,3,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5375,56.9,1
2019-01-02,3,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4853,58.33,1
2019-01-02,3,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5247,59.62,1
2019-01-02,3,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5649,57.76,1
2019-01-02,3,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5538,57.04,1
2019-01-02,3,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5242,58.18,1
2019-01-02,3,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4918,57.93,1
2019-01-02,3,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5032,55.63,1
2019-01-02,3,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4402,56.79,1
2019-01-02,3,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4334,59.31,1
2019-01-02,3,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5129,58.31,1
2019-01-02,3,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4149,59.99,1
2019-01-02,3,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3840,61.66,1
2019-01-03,4,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2556,63.04,1
2019-01-03,4,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1773,62.79,1
2019-01-03,4,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1251,61.1,1
2019-01-03,4,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,986,59.21,1
2019-01-03,4,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1077,57.66,1
2019-01-03,4,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2279,57.85,1
2019-01-03,4,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4526,57.75,1
2019-01-03,4,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5345,59.25,1
2019-01-03,4,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6242,58.34,1
2019-01-03,4,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6091,55.81,1
2019-01-03,4,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5788,54.11,1
2019-01-03,4,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5467,52.75,1
2019-01-03,4,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5351,55.83,1
2019-01-03,4,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5456,56.61,1
2019-01-03,4,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5363,55.56,1
2019-01-03,4,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5283,51.7,2
2019-01-03,4,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5485,46.46,2
2019-01-03,4,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4886,43.89,2
2019-01-03,4,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4681,35.94,2
2019-01-03,4,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4600,41.65,2
2019-01-03,4,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4234,56.8,1
2019-01-03,4,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5219,58.23,1
2019-01-03,4,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5254,57.67,1
2019-01-03,4,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4247,60.14,1
2019-01-04,5,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3047,62.21,1
2019-01-04,5,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2005,62.41,1
2019-01-04,5,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1476,62.21,1
2019-01-04,5,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1224,60.78,1
2019-01-04,5,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1193,60.09,1
2019-01-04,5,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2194,58.42,1
2019-01-04,5,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4374,58.72,1
2019-01-04,5,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5292,58.17,1
2019-01-04,5,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6272,58.07,1
2019-01-04,5,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6297,55.93,1
2019-01-04,5,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6075,53.7,1
2019-01-04,5,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5890,55.1,1
2019-01-04,5,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5424,57.22,1
2019-01-04,5,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5541,57.47,1
2019-01-04,5,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5594,52.38,1
2019-01-04,5,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5361,50.05,2
2019-01-04,5,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5051,43.98,2
2019-01-04,5,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4681,39.13,2
2019-01-04,5,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4395,30.55,2
2019-01-04,5,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4317,41.39,2
2019-01-04,5,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4532,57.58,1
2019-01-04,5,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5383,58.35,1
2019-01-04,5,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5402,55.8,1
2019-01-04,5,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4866,57.92,1
2019-01-05,6,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3569,62.12,1
2019-01-05,6,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2709,63.07,1
2019-01-05,6,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2133,62.56,1
2019-01-05,6,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1775,62.8,1
2019-01-05,6,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1620,62.37,1
2019-01-05,6,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2251,62.66,1
2019-01-05,6,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3176,60.55,1
2019-01-05,6,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3427,59.55,1
2019-01-05,6,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4307,57.4,1
2019-01-05,6,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4978,58.19,1
2019-01-05,6,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5441,58.04,1
2019-01-05,6,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5161,57.15,1
2019-01-05,6,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5206,57.36,1
2019-01-05,6,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5263,56.95,1
2019-01-05,6,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5109,56.72,1
2019-01-05,6,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4907,56.08,1
2019-01-05,6,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4761,55.02,1
2019-01-05,6,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4843,54.61,1
2019-01-05,6,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4379,55.87,1
2019-01-05,6,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4211,57.92,1
2019-01-05,6,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4366,57.95,1
2019-01-05,6,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5005,56.94,1
2019-01-05,6,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4487,59.1,1
2019-01-05,6,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3604,61.31,1
2019-01-06,7,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2809,62.74,1
2019-01-06,7,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2092,63.13,1
2019-01-06,7,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1666,62.68,1
2019-01-06,7,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1385,61.84,1
2019-01-06,7,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1112,62.26,1
2019-01-06,7,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1367,62.11,1
2019-01-06,7,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1981,60.46,1
2019-01-06,7,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2223,59.67,1
2019-01-06,7,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2726,57.96,1
2019-01-06,7,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3477,58.59,1
2019-01-06,7,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3964,57.95,1
2019-01-06,7,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4348,58.74,1
2019-01-06,7,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4611,57.98,1
2019-01-06,7,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4890,57.99,1
2019-01-06,7,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4750,57.45,1
2019-01-06,7,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4983,57.03,1
2019-01-06,7,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5060,54.07,1
2019-01-06,7,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4789,55.42,1
2019-01-06,7,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4528,56.32,1
2019-01-06,7,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4198,57.48,1
2019-01-06,7,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4305,57.32,1
2019-01-06,7,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4113,58.31,1
2019-01-06,7,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3479,59.57,1
2019-01-06,7,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2664,59.87,1
2019-01-07,1,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1765,60.7,1
2019-01-07,1,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1238,58.56,1
2019-01-07,1,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,851,58.63,1
2019-01-07,1,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,838,57.99,1
2019-01-07,1,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1151,57.57,1
2019-01-07,1,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3022,57.5,1
2019-01-07,1,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4915,56.53,1
2019-01-07,1,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5892,56.43,1
2019-01-07,1,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6678,54.21,1
2019-01-07,1,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6403,51.91,1
2019-01-07,1,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5880,53.03,1
2019-01-07,1,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5350,57.38,1
2019-01-07,1,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4928,58.27,1
2019-01-07,1,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5422,59.05,1
2019-01-07,1,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5497,58.74,1
2019-01-07,1,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5540,56.86,1
2019-01-07,1,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5432,55.33,1
2019-01-07,1,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4928,47.69,2
2019-01-07,1,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4796,53.14,1
2019-01-07,1,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4216,57.53,1
2019-01-07,1,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4606,58.02,1
2019-01-07,1,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5235,58.56,1
2019-01-07,1,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4798,58.7,1
2019-01-07,1,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3679,61.04,1
2019-01-08,2,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2635,62.9,1
2019-01-08,2,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1702,63.26,1
2019-01-08,2,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1335,60.88,1
2019-01-08,2,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1042,61.27,1
2019-01-08,2,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1134,64.88,1
2019-01-08,2,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2251,58.33,1
2019-01-08,2,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4385,57.47,1
2019-01-08,2,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5617,58,1
2019-01-08,2,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6201,57.68,1
2019-01-08,2,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6109,55.1,1
2019-01-08,2,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6336,54.98,1
2019-01-08,2,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5890,56.54,1
2019-01-08,2,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5224,58,1
2019-01-08,2,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5371,57.48,1
2019-01-08,2,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5795,55.41,1
2019-01-08,2,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5594,47.55,2
2019-01-08,2,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5511,47.02,2
2019-01-08,2,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4775,40.44,2
2019-01-08,2,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4726,25.19,2
2019-01-08,2,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4298,22.56,3
2019-01-08,2,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4291,53.75,1
2019-01-08,2,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5334,57.22,1
2019-01-08,2,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4978,57.56,1
2019-01-08,2,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4029,60.81,1
2019-01-09,3,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2848,63.13,1
2019-01-09,3,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1844,62.2,1
2019-01-09,3,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1271,59.53,1
2019-01-09,3,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1013,58.63,1
2019-01-09,3,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1068,57.46,1
2019-01-09,3,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2194,57.97,1
2019-01-09,3,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4306,58.21,1
2019-01-09,3,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5465,58.75,1
2019-01-09,3,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6321,57.19,1
2019-01-09,3,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6340,55.41,1
2019-01-09,3,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5789,52.9,1
2019-01-09,3,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5579,54.48,1
2019-01-09,3,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4738,56.89,1
2019-01-09,3,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5500,56.48,1
2019-01-09,3,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5772,56.76,1
2019-01-09,3,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5357,52.53,1
2019-01-09,3,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5551,52.75,1
2019-01-09,3,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4671,47.25,2
2019-01-09,3,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4639,34.21,2
2019-01-09,3,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4080,37.38,2
2019-01-09,3,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4390,56.26,1
2019-01-09,3,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5339,58.54,1
2019-01-09,3,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4958,58.66,1
2019-01-09,3,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4141,57.87,1
2019-01-10,4,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2880,63.3,1
2019-01-10,4,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1871,64.1,1
2019-01-10,4,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1402,60.27,1
2019-01-10,4,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1119,59.83,1
2019-01-10,4,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1058,59.05,1
2019-01-10,4,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2230,57.58,1
2019-01-10,4,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4320,56.85,1
2019-01-10,4,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5436,57.73,1
2019-01-10,4,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6355,57.85,1
2019-01-10,4,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6259,52.72,1
2019-01-10,4,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6075,48.65,2
2019-01-10,4,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5796,50.45,2
2019-01-10,4,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5288,53.61,1
2019-01-10,4,13:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5487,57.51,1
2019-01-10,4,14:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5522,54.87,1
2019-01-10,4,15:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5727,56.46,1
2019-01-10,4,16:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5465,54.1,1
2019-01-10,4,17:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5082,49.7,2
2019-01-10,4,18:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4927,46.53,2
2019-01-10,4,19:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4278,56.01,1
2019-01-10,4,20:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4472,58.37,1
2019-01-10,4,21:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5384,57.03,1
2019-01-10,4,22:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5163,57.1,1
2019-01-10,4,23:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4242,60.64,1
2019-01-11,5,0:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,3098,62.65,1
2019-01-11,5,1:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2096,63.82,1
2019-01-11,5,2:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1532,61.82,1
2019-01-11,5,3:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1204,60.51,1
2019-01-11,5,4:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,1116,58.02,1
2019-01-11,5,5:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,2271,59.48,1
2019-01-11,5,6:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,4281,57.94,1
2019-01-11,5,7:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5488,58.91,1
2019-01-11,5,8:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6196,58.22,1
2019-01-11,5,9:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6459,55.8,1
2019-01-11,5,10:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,6080,51.04,2
2019-01-11,5,11:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5994,54.17,1
2019-01-11,5,12:00:00,한남대교,용산구,C-13,한남대교북단,한남대교남단,6,822,5157,51.84,2
